params: 341M total / 99M active | mode=joint lambda_pred=0.0
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
  eval step 500: lm 6.833 pred 1.443 hit@k [h1: 0.782 | h2: 0.770 | h4: 0.730] | ent 2.249 persist 0.126 util_max 0.146
step   500 | lm 6.680 | pred 1.438 | 5034 tok/s
step   520 | lm 6.846 | pred 1.460 | 5037 tok/s
step   540 | lm 6.799 | pred 1.429 | 5040 tok/s
step   560 | lm 6.969 | pred 1.403 | 5041 tok/s
step   580 | lm 6.848 | pred 1.406 | 5044 tok/s
step   600 | lm 7.122 | pred 1.374 | 5047 tok/s
step   620 | lm 6.919 | pred 1.392 | 5049 tok/s
step   640 | lm 6.855 | pred 1.447 | 5052 tok/s
step   660 | lm 6.704 | pred 1.348 | 5054 tok/s
step   680 | lm 6.630 | pred 1.328 | 5056 tok/s
step   700 | lm 6.802 | pred 1.373 | 5058 tok/s
step   720 | lm 7.492 | pred 1.390 | 5059 tok/s
step   740 | lm 6.937 | pred 1.356 | 5060 tok/s
step   760 | lm 6.730 | pred 1.300 | 5061 tok/s
step   780 | lm 6.955 | pred 1.340 | 5063 tok/s
step   800 | lm 6.648 | pred 1.342 | 5065 tok/s
step   820 | lm 6.847 | pred 1.345 | 5066 tok/s
step   840 | lm 6.598 | pred 1.316 | 5068 tok/s
step   860 | lm 7.683 | pred 1.372 | 5069 tok/s
step   880 | lm 6.133 | pred 1.274 | 5070 tok/s
step   900 | lm 6.849 | pred 1.273 | 5072 tok/s
step   920 | lm 6.546 | pred 1.266 | 5072 tok/s
step   940 | lm 6.718 | pred 1.269 | 5073 tok/s
step   960 | lm 6.176 | pred 1.282 | 5074 tok/s
step   980 | lm 6.585 | pred 1.261 | 5075 tok/s
  eval step 1000: lm 6.572 pred 1.260 hit@k [h1: 0.846 | h2: 0.830 | h4: 0.790] | ent 2.198 persist 0.120 util_max 0.124
step  1000 | lm 6.718 | pred 1.261 | 5045 tok/s
step  1020 | lm 6.816 | pred 1.287 | 5047 tok/s
step  1040 | lm 6.544 | pred 1.263 | 5048 tok/s
step  1060 | lm 6.453 | pred 1.254 | 5050 tok/s
step  1080 | lm 6.738 | pred 1.265 | 5051 tok/s
step  1100 | lm 6.737 | pred 1.231 | 5052 tok/s
step  1120 | lm 6.603 | pred 1.257 | 5053 tok/s
